municipio,SAFRA,ano,mes,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Bandeirantes,12/13,2013,3,Norte,Nitossolo Vermelho eutrófico,420.0,28.588387096774195,19.894193548387097,23.925806451612903,80.89354838709677,2.322258064516129,16.48548387096774,137.21,0.723975,15500.0,50220.0,54.0
Bandeirantes,13/14,2013,9,Norte,Nitossolo Vermelho eutrófico,420.0,29.612666666666666,14.709,21.634,66.593,2.9166666666666665,17.419,108.2,0.38835,16190.0,23637.4,24.33
Bandeirantes,13/14,2013,10,Norte,Nitossolo Vermelho eutrófico,420.0,28.265806451612903,16.938387096774196,22.312258064516126,74.64774193548386,2.738064516129032,20.46225806451613,156.77,0.37693333333333334,16190.0,23637.4,24.33
Bandeirantes,13/14,2013,11,Norte,Nitossolo Vermelho eutrófico,420.0,31.787,18.768666666666665,24.994333333333334,67.77733333333333,3.0436666666666667,21.352333333333334,83.61,0.5371250000000001,16190.0,23637.4,24.33
Bandeirantes,13/14,2013,12,Norte,Nitossolo Vermelho eutrófico,420.0,33.75258064516129,21.22193548387097,27.23225806451613,63.634838709677425,2.5141935483870967,23.673870967741934,110.52000000000001,0.6891,16190.0,23637.4,24.33
Bandeirantes,13/14,2014,1,Norte,Nitossolo Vermelho eutrófico,420.0,29.57193548387097,21.08677419354839,25.428709677419352,77.58709677419354,1.6,24.220322580645163,189.8,0.821375,16190.0,23637.4,24.33
Bandeirantes,13/14,2014,2,Norte,Nitossolo Vermelho eutrófico,420.0,32.34571428571429,21.434642857142855,26.648571428571426,68.11999999999999,2.309285714285714,21.555714285714284,132.31,0.7246,16190.0,23637.4,24.33
Bandeirantes,13/14,2014,3,Norte,Nitossolo Vermelho eutrófico,420.0,29.567419354838712,20.192580645161293,24.601290322580645,77.56,2.1258064516129034,17.773548387096774,139.32,0.630825,16190.0,23637.4,24.33
Bandeirantes,14/15,2014,9,Norte,Nitossolo Vermelho eutrófico,420.0,31.296666666666667,17.208333333333332,23.547,64.759,2.8296666666666668,16.862666666666666,170.34,0.436375,17480.0,46147.2,44.0
Bandeirantes,14/15,2014,10,Norte,Nitossolo Vermelho eutrófico,420.0,32.741290322580646,17.804516129032258,24.933548387096774,61.38612903225807,2.7209677419354836,23.7558064516129,19.12,0.4385666666666667,17480.0,46147.2,44.0
Bandeirantes,14/15,2014,11,Norte,Nitossolo Vermelho eutrófico,420.0,31.40533333333333,19.587,25.249333333333333,68.96566666666668,2.484666666666667,21.465333333333334,131.69,0.339025,17480.0,46147.2,44.0
Bandeirantes,14/15,2014,12,Norte,Nitossolo Vermelho eutrófico,420.0,29.102580645161293,20.386129032258065,24.65225806451613,79.09451612903226,2.443548387096774,20.909354838709675,228.37,0.5228500000000001,17480.0,46147.2,44.0
Bandeirantes,14/15,2015,1,Norte,Nitossolo Vermelho eutrófico,420.0,29.883225806451613,21.67290322580645,25.759677419354837,79.78677419354838,1.677741935483871,24.091290322580647,152.39000000000001,0.6752,17480.0,46147.2,44.0
Bandeirantes,14/15,2015,2,Norte,Nitossolo Vermelho eutrófico,420.0,28.77392857142857,20.919999999999998,24.659285714285716,83.14928571428571,1.9460714285714287,19.993214285714284,183.85,0.753025,17480.0,46147.2,44.0
Bandeirantes,14/15,2015,3,Norte,Nitossolo Vermelho eutrófico,420.0,27.973225806451612,19.838709677419356,23.718064516129033,82.46774193548387,1.8283870967741935,18.493870967741934,118.28999999999999,0.542725,17480.0,46147.2,44.0
Bandeirantes,15/16,2015,9,Norte,Nitossolo Vermelho eutrófico,420.0,30.687333333333335,17.591333333333335,23.63133333333333,69.37433333333334,2.326,16.872333333333334,184.93,0.37882499999999997,18160.0,50121.6,46.0
