municipio,SAFRA,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Cruzeiro do Sul,20/21,Noroeste,Latossolo Vermelho distrófico,456.0,32.752169811320755,19.983490566037737,25.8,67.40669811320754,1.2937735849056602,22.02330188679245,675.22,0.3848567216981132,4500.0,13500.0,50.0
Cruzeiro do Sul,21/22,Noroeste,Latossolo Vermelho distrófico,456.0,32.63891509433962,19.78735849056604,25.714150943396223,67.11235849056604,1.3268396226415096,22.045801886792454,852.3,0.4932787342767296,4244.0,8415.85,33.05
Cruzeiro do Sul,22/23,Noroeste,Latossolo Vermelho distrófico,456.0,29.470424528301884,18.76556603773585,23.645141509433966,76.7386320754717,1.3174056603773585,20.345235849056603,1080.39,0.5466770833333333,5404.0,19454.4,60.0
Cruzeiro do Sul,23/24,Noroeste,Latossolo Vermelho distrófico,456.0,34.383004694835684,21.43615023474178,27.3418779342723,65.6143661971831,1.3317840375586856,21.30004694835681,721.65,0.5678497261345853,5938.0,13983.99,39.25
Cruzeiro do Sul,99/00,Noroeste,Latossolo Vermelho distrófico,456.0,29.505499999999998,20.033166666666666,24.232833333333335,81.29183333333334,1.1706666666666665,19.21333333333333,352.15000000000003,0.7315141666666667,550.0,1320.0,40.0
Diamante do Norte,03/04,Noroeste,Latossolo Vermelho distrófico,352.0,32.64370892018779,19.84643192488263,25.800140845070423,68.82924882629108,1.2938028169014084,22.368826291079813,729.31,0.5605198748043818,290.0,189.0,10.86
Diamante do Norte,04/05,Noroeste,Latossolo Vermelho distrófico,352.0,31.45740566037736,19.89981132075472,25.26377358490566,74.20221698113208,1.2110377358490567,21.476933962264148,946.53,0.5581893867924529,270.0,48.6,3.0
Diamante do Norte,05/06,Noroeste,Latossolo Vermelho distrófico,352.0,31.436084905660376,20.358915094339622,25.46938679245283,75.06146226415095,1.2545754716981132,20.58009433962264,1114.23,0.6038842767295598,270.0,405.0,25.0
Diamante do Norte,12/13,Noroeste,Latossolo Vermelho distrófico,352.0,32.88542452830189,20.953018867924527,26.464433962264152,70.53745283018868,1.2470283018867925,21.386179245283017,906.88,0.6485728773584905,116.0,272.6,39.17
Diamante do Norte,13/14,Noroeste,Latossolo Vermelho distrófico,352.0,32.154622641509434,20.375943396226415,25.82316037735849,71.88778301886792,1.3030188679245283,21.775188679245282,891.15,0.5771694182389937,210.0,328.0,26.03
Diamante do Norte,14/15,Noroeste,Latossolo Vermelho distrófico,352.0,33.44113207547169,21.50070754716981,26.932169811320755,69.61391509433962,1.2511792452830188,21.55061320754717,664.99,0.6450639150943396,350.0,945.0,45.0
Diamante do Norte,15/16,Noroeste,Latossolo Vermelho distrófico,352.0,31.827981220657275,21.53150234741784,26.192535211267607,77.4781220657277,1.2086384976525821,19.24112676056338,1059.16,0.5402131064162754,430.0,1376.0,53.33
Diamante do Norte,16/17,Noroeste,Latossolo Vermelho distrófico,352.0,32.16990566037736,20.356415094339624,25.70679245283019,71.92311320754717,1.2564622641509433,21.5388679245283,707.7,0.4969029481132075,714.0,2284.8,53.33
Diamante do Norte,17/18,Noroeste,Latossolo Vermelho distrófico,352.0,32.09014150943396,20.7986320754717,25.938349056603776,74.11287735849056,1.232075471698113,20.791933962264153,959.13,0.5737818789308176,1524.0,4876.8,53.33
Diamante do Norte,18/19,Noroeste,Latossolo Vermelho distrófico,352.0,32.41778301886792,21.171650943396227,26.384198113207546,73.92867924528302,1.1822641509433962,21.202075471698112,883.53,0.5884318003144654,1887.0,3585.3,31.67
Diamante do Norte,19/20,Noroeste,Latossolo Vermelho distrófico,352.0,34.0749765258216,21.5368544600939,27.3075117370892,66.92544600938967,1.2696244131455399,21.853661971830984,836.59,0.5786133411580595,3783.0,9835.8,43.33
Diamante do Norte,20/21,Noroeste,Latossolo Vermelho distrófico,352.0,34.48768867924529,21.242877358490563,27.274858490566036,65.52693396226415,1.2287735849056605,22.02330188679245,606.13,0.5703327830188679,3400.0,10200.0,50.0
Diamante do Norte,21/22,Noroeste,Latossolo Vermelho distrófico,352.0,34.68787735849057,21.365990566037738,27.54556603773585,63.04183962264151,1.3024056603773586,22.045801886792454,671.56,0.5003093160377359,3400.0,6120.0,30.0
Diamante do Norte,22/23,Noroeste,Latossolo Vermelho distrófico,352.0,31.59014150943396,19.997688679245282,25.289905660377357,73.11985849056603,1.2758490566037737,20.345235849056603,747.15,0.49360055031446537,3400.0,13940.0,68.33
Diamante do Norte,23/24,Noroeste,Latossolo Vermelho distrófico,352.0,36.277276995305165,22.95600938967136,29.1324882629108,62.69713615023474,1.3129107981220656,21.30004694835681,591.08,0.6271810250391235,3400.0,6120.0,30.0
Diamante do Norte,99/00,Noroeste,Latossolo Vermelho distrófico,352.0,31.198833333333333,21.4815,25.846833333333333,78.85616666666667,1.1703333333333332,19.21333333333333,308.19,0.6218433333333333,90.0,180.0,33.33
Diamante do Sul,00/01,Sul,Neossolo Litólico eutrófico,620.0,26.29174528301887,17.47198113207547,21.66896226415094,85.07485849056603,0.056132075471698115,19.90207547169811,1512.78,0.7700735849056605,100.0,340.0,56.67
