municipio,SAFRA,ano,mes,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA,GDD,VPD,NDVI_x_RS,NDVI_Quadrado,Tmed_Quadrado,Desvio_Temp_Otima,Chuva_Total_Safra_Anterior,NDVI_Medio_Safra_Anterior
Bandeirantes,07/08,2008,2,Norte,Nitossolo Vermelho eutrófico,420.0,30.05862068965517,20.464827586206894,25.057241379310344,76.60275862068966,1.8910344827586203,20.5848275862069,155.41,0.86905,13400.0,38190.0,47.5,15.261724137931033,0.7437034617633691,17.889244413793104,0.7552479025,627.8653455410225,1.1177593341260394,1172.85,0.5285392857142857
Bandeirantes,07/08,2008,3,Norte,Nitossolo Vermelho eutrófico,420.0,28.988064516129032,19.03516129032258,23.708064516129035,77.53129032258065,2.3206451612903227,20.12258064516129,115.81,0.7126,13400.0,38190.0,47.5,14.011612903225807,0.6587891953352645,14.339350967741934,0.50779876,562.0723231009366,0.08522632674297453,1172.85,0.5285392857142857
Bandeirantes,08/09,2008,9,Norte,Nitossolo Vermelho eutrófico,420.0,28.383,13.266333333333334,20.282333333333334,66.27933333333334,2.9993333333333334,19.75133333333333,66.8,0.359,13550.0,26829.0,33.0,10.824666666666666,0.8023703081625561,7.090728666666665,0.128881,411.3730454444445,13.821045444444442,859.85,0.5950011904761905
Bandeirantes,08/09,2008,10,Norte,Nitossolo Vermelho eutrófico,420.0,30.42967741935484,18.517419354838708,24.094193548387096,72.02193548387096,2.7145161290322584,18.088387096774195,120.06,0.455275,13550.0,26829.0,33.0,14.473548387096773,0.839573958610513,8.23519043548387,0.20727532562499998,580.5301627471384,0.008872424557752265,859.85,0.5950011904761905
Bandeirantes,08/09,2008,11,Norte,Nitossolo Vermelho eutrófico,420.0,30.295333333333332,18.519333333333336,24.117,71.56566666666666,2.6286666666666667,22.606,123.5,0.5858666666666666,13550.0,26829.0,33.0,14.407333333333334,0.8544336902054647,13.244101866666668,0.3432397511111111,581.6296890000001,0.013689000000000206,859.85,0.5950011904761905
Bandeirantes,08/09,2008,12,Norte,Nitossolo Vermelho eutrófico,420.0,33.42741935483871,19.206774193548387,26.14935483870968,61.85935483870968,2.321290322580645,25.453225806451613,86.13,0.675875,13550.0,26829.0,33.0,16.31709677419355,1.2934378175157009,17.203198991935484,0.456807015625,683.7887584807494,4.619726222684715,859.85,0.5950011904761905
Bandeirantes,08/09,2009,1,Norte,Nitossolo Vermelho eutrófico,420.0,28.87,20.037096774193547,24.27032258064516,79.45129032258063,2.5061290322580643,18.74129032258065,297.38,0.797775,13550.0,26829.0,33.0,14.453548387096774,0.623175906429939,14.951332887096777,0.6364449506250001,589.0485581685743,0.07307429760665934,859.85,0.5950011904761905
Bandeirantes,08/09,2009,2,Norte,Nitossolo Vermelho eutrófico,420.0,28.6,21.158214285714283,24.860357142857143,83.32107142857141,1.8442857142857143,19.95321428571429,205.54,0.7916,13550.0,26829.0,33.0,14.879107142857144,0.5239725291798575,15.794964428571431,0.62663056,618.0373572704082,0.7402144132653072,859.85,0.5950011904761905
Bandeirantes,08/09,2009,3,Norte,Nitossolo Vermelho eutrófico,420.0,29.086774193548383,20.09225806451613,24.448064516129037,78.81387096774193,1.835161290322581,20.74870967741936,60.150000000000006,0.6970000000000001,13550.0,26829.0,33.0,14.589516129032255,0.6493790098680934,14.461850645161295,0.4858090000000001,597.7078585848077,0.20076181061394793,859.85,0.5950011904761905
Bandeirantes,09/10,2009,9,Norte,Nitossolo Vermelho eutrófico,420.0,27.34466666666667,17.192666666666664,21.982333333333333,81.775,2.5156666666666667,15.072,176.78,0.381075,13700.0,40826.0,49.67,12.268666666666668,0.48133783518202794,5.7435624,0.145218155625,483.22297877777777,4.070978777777779,959.56,0.6231988095238095
